Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"PADERNO Laurier 55pc Stainless Steel Entertaining Flatware Set, Serves 10",329.99,129.99,61.0,kitchen,142-4893-2,4.4,https://www.canadiantire.ca/en/pdp/paderno-laurier-55pc-stainless-steel-entertaining-flatware-set-serves-10-1424893p.html#srp
"NOMA 32-pk AA Alkaline Batteries, Long Lasting, All Purpose",25.99,15.59,40.0,hardware,065-1758-8,4.8,https://www.canadiantire.ca/en/pdp/noma-32-pk-aa-alkaline-batteries-long-lasting-all-purpose-0651758p.html#srp
"Revlon Quick Dry 2-Speed Ceramic Ionic Hair Dryer with Diffuser & Concentrator, Black",49.99,39.99,20.0,personal-garment-care,043-8682-6,4.4,https://www.canadiantire.ca/en/pdp/revlon-quick-dry-2-speed-ceramic-ionic-hair-dryer-with-diffuser-concentrator-black-0438682p.html#srp
"Power Service Diesel Kleen & Cetane Boost, assorted sizes",18.99,17.09,10.0,auto-maintenance,038-0766X,4.8,https://www.canadiantire.ca/en/pdp/power-service-diesel-kleen-cetane-boost-assorted-sizes-0380766p.html#srp
"Mothers Car Rubber, Vinyl & Plastic Protectant Spray, 473-mL",15.99,14.39,10.0,car-care-accessories,039-2541-0,4.8,https://www.canadiantire.ca/en/pdp/mothers-car-rubber-vinyl-plastic-protectant-spray-473-ml-0392541p.html#srp
"Mastercraft Smooth-Surface Push Broom with Steel Handle, 24-in",36.99,29.59,20.0,cleaning,042-7993-4,3.8,https://www.canadiantire.ca/en/pdp/mastercraft-smooth-surface-push-broom-with-steel-handle-24-in-0427993p.html#srp
MotoMaster 20-10 Ratcheting Crimper,36.99,27.74,25.0,light-auto-parts,020-7568-0,4.0,https://www.canadiantire.ca/en/pdp/motomaster-20-10-ratcheting-crimper-0207568p.html#srp
"RSSW Arrow Alloy Wheel/Rim, Silver",132.99,106.39,20.0,tires,141-7002X,0.0,https://www.canadiantire.ca/en/pdp/rssw-arrow-alloy-wheel-rim-silver-1417002p.html#srp
"AutoTrends Flex Fit Neoprene Seat Cover, Black",49.99,29.99,40.0,car-care-accessories,032-4051-8,4.3,https://www.canadiantire.ca/en/pdp/autotrends-flex-fit-neoprene-seat-cover-black-0324051p.html#srp
"PowerBilt TPS Distance Golf Balls, 24-pk, White",37.99,29.99,21.0,team-sports-and-golf,086-2066-8,3.6,https://www.canadiantire.ca/en/pdp/powerbilt-tps-distance-golf-balls-24-pk-white-0862066p.html#srp
"Mothers California Gold Car Wax Spray, 710-mL",15.99,14.39,10.0,car-care-accessories,039-2845-8,4.7,https://www.canadiantire.ca/en/pdp/mothers-california-gold-car-wax-spray-710-ml-0392845p.html#srp
"CANVAS Cube Fabric Drawer Basket, White and Grey Stripes, 10.5 x 10.5 x 10.9-in",10.99,8.79,20.0,home-decor,068-0479-2,4.8,https://www.canadiantire.ca/en/pdp/canvas-cube-fabric-drawer-basket-white-and-grey-stripes-10-5-x-10-5-x-10-9-in-0680479p.html#srp
"Panasonic DECT 6.0 Cordless Phone, 4-Handsets, Black",159.99,129.99,19.0,electronics,069-8005-0,4.5,https://www.canadiantire.ca/en/pdp/panasonic-dect-6-0-cordless-phone-4-handsets-black-0698005p.html#srp
"Turtle Wax Hybrid Solutions One-N-Done Ceramic Liquid Polish & Wax, 473-mL",26.99,24.29,10.0,car-care-accessories,039-1017-6,4.2,https://www.canadiantire.ca/en/pdp/turtle-wax-hybrid-solutions-one-n-done-ceramic-liquid-polish-wax-473-ml-0391017p.html#srp
"PADERNO Professional Uncoated Aluminum Round Cake Pan, 6-in",26.99,14.99,44.0,kitchen,142-9699-6,4.8,https://www.canadiantire.ca/en/pdp/paderno-professional-uncoated-aluminum-round-cake-pan-6-in-1429699p.html#srp
"Pedigree Vitality+ Hearty Beef and Vegetable Flavour Adult Dry Dog Food, 8-kg",25.99,23.39,10.0,pet-care,042-6719-6,4.5,https://www.canadiantire.ca/en/pdp/pedigree-vitality-hearty-beef-and-vegetable-flavour-adult-dry-dog-food-8-kg-0426719p.html#srp
"CANVAS Emery Rectangular Hand Woven Storage Basket, 14.57 x 12 x 12-in",29.99,23.99,20.0,home-decor,142-9039-8,4.6,https://www.canadiantire.ca/en/pdp/canvas-emery-rectangular-hand-woven-storage-basket-14-57-x-12-x-12-in-1429039p.html#srp
