,Product Name,Original Price,Clearance Price,Rating,Product Code,Percentage Off
125,Mastercraft 20V Max Lithium-Ion 1.5Ah Battery Pack with LED Fuel Gauge 2-pk,99.99,64.93,4.3,054-3211-2,65.0
126,"Thermos® Work Series Vaccum Insulated Stainless Steel Bottle with Cup, 1-L",47.99,29.93,4.7,142-2103-6,62.0
127,"Berkley Solutions Braided Fishing Line, Green",15.99,11.93,4.1,077-8271X,75.0
128,"Melitta Large Basket Coffee Filters, 8-12 Cups, White, 200-pk",3.49,2.43,4.4,042-1765-4,70.0
129,"MotoMaster Foldable Trunk Tray Mat, Black",24.99,17.43,5.0,031-3207-8,70.0
130,Goodyear Nordic Winter Tire,,135.99,4.3,002-1471X,
131,"Snap Tops Plastic Food Storage Container Set, BPA-Free, 60-pc",39.99,24.93,3.2,142-2122-0,62.0
132,"MAXIMUM DVTB204 20V Li-Ion Cordless Wet/Dry Shop Vacuum with 2.0 Ah Battery & Accessories, 15-L",249.99,139.93,2.6,054-0291-8,56.0
133,"NOMA 1-Outlet and 2 USB Travel Extension Cord, 6-ft Retractable Plug, Grey",38.99,19.93,5.0,052-9672-2,51.0
134,"Purina PuPPy Chow® ComPlete Chicken PuPPy Dry Dog Food, 8-kg",21.99,14.93,4.7,042-6155-6,68.0
135,The Club Auto Brake Lock,59.99,34.93,2.5,037-2412-2,58.0
136,"CANVAS Performance Cotton Absorbent Wash Towels / Hand Towels, Assorted Colours, 13 x 13-in, 2-pk",,7.99,4.3,063-6243X,
137,"type A Transparent Storage Box with Latched Lid, 24.6-L",29.99,18.93,4.7,142-4913-6,63.0
138,"Footjoy WeatherSof Men's Golf Glove, Assorted Sizes, Right-Hand, White",15.99,6.93,4.0,086-0127X,43.0
139,Outbound Men's/Women's Lightweight Aluminium Snowshoes Kit With Poles & Carry Tote Bag,149.99,39.93,3.8,082-1078X,27.0
140,"For Living Machine Wash Cotton Non-Slip Back Bath Mat Set, Assorted Colours, 3-pc",,34.99,3.3,063-3172X,
141,"Solvable Methyl Ethyl Ketone (MEK), 946-mL",17.99,12.43,4.5,047-5884-6,69.0
142,"Thermos® BPA-Free Insulated Stainless Steel Sport Water Jug with Flip-up Lid, 1.9-L",39.99,24.93,0.0,142-6423-0,62.0
143,"Rust-Oleum Universal Hammered Spray Paint, 340-g",,24.99,4.5,048-1143X,
144,X-Chair DVL Task Chair,749.99,449.93,3.9,168-0120-6,60.0
145,"Broan E050 Economy Bathroom Exhaust Fan, 50 CFM",33.99,22.93,3.8,052-2702-4,67.0
146,"AVS Vent Visor, Smoke, 4-pc",,25.99,3.7,034-5100X,
147,"For Living Compact Up to 4 Toilet Paper Holder, Chrome Finish",5.99,3.43,4.3,063-6234-8,57.0
148,Feit Electric 2 Ft 19-Watt LED Full Spectrum Non-Dimmable Plant Grow Light,61.99,39.93,4.3,052-8587-2,64.0
149,"Hillman Galvanized Deck Screws, Corrosion Resistant, Assorted Sizes & Pack Sizes",10.79,3.93,4.8,161-0119X,36.0
150,"Bloem Veranda Plastic Square Planter, Assorted Sizes, Chocolate",19.99,12.93,4.2,059-1202X,65.0
151,Canadian Tire 100th Anniversary Medium Reusable Bag,2.0,1.43,4.5,153-1609-4,72.0
152,"Solignum Water-Based Interior/Exterior Concrete & Garage Floor Acryclic Paint, 3.78-L/1-Gallon",65.99,39.93,3.9,048-9764X,61.0
153,Humminbird Helix 5 Sonar G2 Fish Finder,369.99,219.93,2.4,077-7539-6,59.0
154,Solo New York Hybrid 2-In-1 Laptop Organizer Briefcase & Backpack For Work/Travel/School 14-L,46.99,29.93,4.8,076-5917-0,64.0
155,"Solvable Xylene, 946-mL",14.99,8.93,4.6,047-5875-8,60.0
156,"Performix Plasti Dip® Smoke Multi-Purpose Rubber Coating Aerosol Spray, 311-g",25.99,16.93,2.0,048-2234-0,65.0
157,Mastercraft 1/6-HP 18V 88-l/min Submersible Lithium-Powered Pump,169.99,119.93,2.8,062-3406-0,71.0
158,"Wolman Renovator Exterior Wood Deck Stain Sprayer, Semi-Transparent, 1.65-L/0.44-Gallon",49.99,14.93,2.2,048-5971X,30.0
159,"Hamilton Beach Non-Stick Egg Bites Maker/Egg Cooker, Grey, 2-Eggs",49.99,26.93,4.6,043-2771-0,54.0
160,"Performix Plasti Dip® Metalizer Multi-Purpose Rubber Coating Aerosol Spray, 311-g",24.99,3.93,2.8,048-2228X,16.0
161,"WD-40 Specialist Industrial-Strength Cleaner & Degreaser Refillable Spray Bottle, 709-mL",13.99,6.93,3.5,038-0409-2,50.0
162,"Rubbermaid Fridge Door Plastic Juice/Water Pitcher with Snap and Close Lid, 2.6-L",9.99,6.43,3.2,042-3935-8,64.0
163,Burcam 3503571-1/2-in Male Garden Hose Pump Adapter Kit,19.99,12.93,3.4,062-3411-6,65.0
164,"Aqua Float-n-Splash Turtle Baby Float with Removable Pillow, 66 x 39-cm, Green",29.99,7.43,0.0,081-3584-8,25.0
165,"ZURUBunch O Balloons Water Warfare Jet Party Pack, Water Fun Kids Game, 35-cm, Age 3+",39.99,24.93,2.7,050-8710-2,62.0
166,"Incredible Inflatable Giant Snail Sprinkler, Kids' Outdoor Summer Water Toy, Age 6+",46.99,17.93,2.6,050-9159-0,38.0
167,"CANVAS Performance Cotton Absorbent Hand Towel, Assorted Colours, 28 x 16-in",,7.99,3.9,063-6254X,
168,"Instant Pot® Silicone Egg Bites Tray/Food Storage w/ Lid, Red",14.99,9.93,4.4,043-8256-2,66.0
169,"FoodSaver® Easy-Fill Vacuum Seal Bags/Vacuum Sealer Bags, 0.9L",17.99,9.93,4.8,043-9589-4,55.0
170,"FoodSaver® Vacuum Sealer/Sealing System w/ 2 Storage Rolls & Starter Kit, Satin",,119.99,4.2,399-8505-4,
171,Banzai Double Dare Ya! Floating Giant/Big Pool Kids' Dice Challange Game,14.99,7.43,3.0,081-3895-8,50.0
172,"Performix Plasti Dip® Chameleon Multi-Purpose Rubber Coating Aerosol Spray, 311-g",24.99,3.93,2.0,048-2247X,16.0
173,"Narly Noggins Floating Trainer Reversible Sequined Dinosaur Kids' Swim Vest, Grey",24.99,12.43,0.0,081-3867-6,50.0
174,Xcalibur 3700 Tackle Bag,59.99,44.99,5.0,077-2975X,75.0
175,Maximum 6-in-1 Stubby Ratcheting Multi-Bit Screwdriver with Quick Release Chuck,14.99,7.93,3.6,057-6019-8,53.0
176,"Umbra Corsa Ceramic Soap Dispenser, White, 340-mL",10.99,5.93,4.8,063-6263-8,54.0
177,Aquarius ABS Swimming Pool Wall Skimmer Weir,8.99,3.93,1.8,081-3310-0,44.0
178,"DEWALT Heavy Duty Tool Holder w/ Pockets, Fits 2.75-in Belt",19.99,11.93,4.8,057-0300-2,60.0
179,REESE Towpower Vehicle Specific Trailer Wiring,,24.99,4.1,040-0300X,
180,"Instant Pot® Pressure Cooker Sealing Ring, BPA-Free, 8qt, 2-pk",18.99,12.93,4.7,043-5746-4,68.0
181,"Simply Fishing Ladies Spincast Fishing Rod and Reel Combo with Tackle Kit, Pre-Spooled, Medium, 6-ft, 2-pc",59.99,32.93,3.8,078-1238-6,55.0
